ANNO;TRIMESTRE;ID_EMPRESA;DESC_EMPRESA;ID_MUNICIPIO;DESC_MUNICIPIO;COORD_GEO_LATITUD_WGS84;COORD_GEO_LONGITUD_WGS84;DIRECCION;INDICADOR_TASA_DATO_MEDIA_HTTP
2018;3;800153993;COMUNICACION CELULAR S A COMCEL S A;25175;CHÍA;"4°51'7.1172"" N";"74°3'56.4912"" O";CLL 3 # 1A-56;4975,69
2018;3;830114921;COLOMBIA MOVIL  S.A ESP;73001;IBAGUÉ;4° 26' 37''N;75° 12' 55''O;Calle 37 No. 10 - 50;4968,25
2018;3;800153993;COMUNICACION CELULAR S A COMCEL S A;66170;DOSQUEBRADAS;"4°50'57.192"" N";"75°39'43.56"" O";DIAGONAL 69 CON AV FERROCARRIL, LOTE AGUA AZUL;4959,21
2018;3;830114921;COLOMBIA MOVIL  S.A ESP;5001;MEDELLÍN;6° 12' 25''N;75° 34' 19''O;CR 43 A No. 5A-31 ED SURAMERICANA-PATIO BONITO;4943,57
2018;3;830114921;COLOMBIA MOVIL  S.A ESP;11001;BOGOTÁ, D.C.;4° 34' 36''N;74° 09' 17''O;calle 68 sur con cra 47;4931,13
2018;3;800153993;COMUNICACION CELULAR S A COMCEL S A;13001;CARTAGENA;"10°24'30.9996"" N";"75°30'3.8016"" O";Calle 31D # 50-25 Sector Foco Rojo.;4929,15
2018;3;800153993;COMUNICACION CELULAR S A COMCEL S A;68132;CALIFORNIA;"7°17'60.0"" N";"72°57'37.8"" O";California, Minas de Oro, Rio Angostura_ubicacion-3;4903,85
2018;3;800153993;COMUNICACION CELULAR S A COMCEL S A;8001;BARRANQUILLA;"10°56'59.2008"" N";"74°48'52.8984"" O";Calle 61 Cra 8 Esquina;4887,03
2018;3;800153993;COMUNICACION CELULAR S A COMCEL S A;8001;BARRANQUILLA;"10°56'34.8"" N";"74°47'42.0"" O";CRA. 7B # 40 - 07 BARRIO LA MAGDALENA;4884,03
2018;3;800153993;COMUNICACION CELULAR S A COMCEL S A;25867;VIANÍ;"4°53'8.016"" N";"74°32'27.0996"" O";IE.Finca El Portal del Altillo Vereda El Altillo Municipio de Viani;4855,2
